Reference, Value, Footprint, Datasheet, Vendor
"C41","13.7p","hermeslite:SMD-0603_c",""
"U5","SPF5189Z","Package_TO_SOT_SMD:SOT-89-3","www.qorvo.com/products/d/da001910","Mouser: 772-SPF5189Z"
"C12","1n","hermeslite:SMD-0603_c",""
"L1","470nH","hermeslite:SMD-0805","","Mouser: 994-0805HP-471XGRC"
"C19","1n","hermeslite:SMD-0603_c",""
"C6","510p","hermeslite:SMD-0603_c",""
"C4","1n","hermeslite:SMD-0603_c",""
"U2","ADE-1H+","n2adr:Mini-Circuits_CD542_LandPatternPL-052","https://www.mouser.co.uk/datasheet/2/1030/ADE-1H_2b-1700018.pdf","Mouser: 139-ADE-1H "
"R3","DNF","hermeslite:SMD-0603_r",""
"R2","0R","hermeslite:SMD-0603_r",""
"R1","DNF","hermeslite:SMD-0603_r",""
"J5","Conn_Coaxial-Connector","n2adr:BNCEDGE",""
"J3","Conn_Coaxial-Connector","n2adr:BNCEDGE",""
"D1","BAP64","hermeslite:SOT23_3","","Mouser: 771-BAP64-05-T/R"
"J6","Conn_01x20","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical",""
"U6","7805","Package_TO_SOT_SMD:TO-263-2",""
"P1","CONN_01X03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"C31","10uF","Capacitor_SMD:CP_Elec_5x5.4",""
"C25","10uF","Capacitor_SMD:CP_Elec_5x5.4",""
